"","date","close_prev"
"771",2014-06-09,16.61
"772",2014-06-10,16.39
"773",2014-06-11,16.75
"774",2014-06-12,16.85
"775",2014-06-13,17.19
"776",2014-06-16,17.15
"777",2014-06-17,17.2
"778",2014-06-18,16.9
"779",2014-06-19,16.3
"780",2014-06-20,15.79
"781",2014-06-23,15.98
"782",2014-06-24,15.97
"783",2014-06-25,16.09
"784",2014-06-26,15.96
"785",2014-06-27,16.69
"786",2014-06-30,16.9
"787",2014-07-01,18
"788",2014-07-02,17.73
"789",2014-07-03,17.9
"790",2014-07-04,17.66
"791",2014-07-07,17.76
"792",2014-07-08,17.8
"793",2014-07-09,18.3
"794",2014-07-10,17.77
"795",2014-07-11,17.61
"796",2014-07-14,17.29
"797",2014-07-15,17.65
"798",2014-07-16,17.45
"799",2014-07-17,17.36
"800",2014-07-18,17.38
"801",2014-07-21,17.88
"802",2014-09-12,18.08
"803",2014-09-15,19.89
"804",2014-09-16,21.88
"805",2014-09-17,24.07
"806",2014-09-18,26.48
"807",2014-09-19,29.13
"808",2014-09-22,32.04
"809",2014-09-23,35.24
"810",2014-09-24,34.7
"811",2014-09-25,33.76
"812",2014-09-26,34.54
"813",2014-09-29,34.85
"814",2014-09-30,37
"815",2014-10-08,40.7
"816",2014-10-09,39.92
"817",2014-10-10,37.8
"818",2014-10-13,37.3
"819",2014-10-14,38.18
"820",2014-10-15,37.11
"821",2014-10-16,35.7
"822",2014-10-17,38.15
"823",2014-10-20,40.4
"824",2014-10-21,42.61
"825",2014-10-22,41.69
"826",2014-10-23,40.92
"827",2014-10-24,38.7
"828",2014-10-27,39.71
"829",2014-10-28,43.1
"830",2014-10-29,44.9
"831",2014-10-30,45.4
"832",2014-10-31,45.25
"833",2014-11-03,44.35
"834",2014-11-04,45
"835",2014-11-05,43.46
"836",2014-11-06,43.39
"837",2014-11-07,44.3
"838",2014-11-10,45.8
"839",2014-11-11,45
"840",2014-11-12,44.78
"841",2014-11-13,47
"842",2014-11-14,46.14
"843",2014-11-17,46.29
"844",2014-11-18,46.8
"845",2014-11-19,46.51
"846",2014-11-20,46.47
"847",2014-11-21,45.98
"848",2014-11-24,46.01
"849",2014-11-25,43.9
"850",2014-11-26,43.64
"851",2014-11-27,43.46
"852",2014-11-28,43.6
"853",2014-12-01,42.25
"854",2014-12-02,41.6
"855",2014-12-03,42.09
"856",2014-12-04,41
"857",2014-12-05,40.55
"858",2014-12-08,41.86
"859",2014-12-09,39.5
"860",2014-12-10,37.57
"861",2014-12-11,40.19
"862",2014-12-12,39.2
"863",2014-12-15,41.6
"864",2014-12-16,45.08
"865",2014-12-17,45.23
"866",2014-12-18,43.83
"867",2014-12-19,43.99
"868",2014-12-22,41.9
"869",2014-12-23,39.9
"870",2014-12-24,41.66
"871",2014-12-25,41.11
"872",2014-12-26,40.4
"873",2014-12-29,41.59
"874",2014-12-30,40
"875",2014-12-31,39.5
"876",2015-01-05,40.72
"877",2015-01-06,38.81
"878",2015-01-07,39.97
"879",2015-01-08,39.75
"880",2015-01-09,40.02
"881",2015-01-12,41.54
"882",2015-01-13,44
"883",2015-01-14,45.8
"884",2015-01-15,45.07
"885",2015-01-16,43.9
"886",2015-01-19,47.25
"887",2015-01-20,44.87
"888",2015-01-21,47.65
"889",2015-01-22,48.17
"890",2015-01-23,47.58
"891",2015-01-26,46.12
"892",2015-01-27,46.75
"893",2015-01-28,51.43
"894",2015-01-29,51.89
"895",2015-01-30,51.75
"896",2015-02-02,50.71
"897",2015-02-03,55.78
"898",2015-02-04,57.8
"899",2015-02-05,56.22
"900",2015-02-06,61.84
"901",2015-02-09,58.89
"902",2015-02-10,57.4
"903",2015-02-11,58.1
"904",2015-02-12,58.49
"905",2015-02-13,56.7
"906",2015-02-16,56.99
"907",2015-02-17,60.11
"908",2015-02-25,60.9
"909",2015-02-26,60.2
"910",2015-02-27,59.45
"911",2015-03-02,60.25
"912",2015-03-03,66.28
"913",2015-03-04,71.66
"914",2015-03-05,68.06
"915",2015-03-06,67.9
"916",2015-03-09,66
"917",2015-03-10,68
"918",2015-03-11,68.91
"919",2015-03-12,68.94
"920",2015-03-13,67.9
"921",2015-03-16,67.37
"922",2015-03-17,68.98
"923",2015-03-18,70.55
"924",2015-03-19,74.35
"925",2015-03-20,74.78
