date,open,high,low,close,close_prev,change_pct,volume,amount
2019/12/30,4015.5195,4083.6901,4001.4951,4081.6334,4022.0278,1.482,155971488,2.17E+11
2019/12/31,4077.7519,4098.1444,4069.0086,4096.5821,4081.6334,0.3662,123264258,1.73E+11
2020/1/2,4121.3487,4172.6555,4121.3487,4152.2408,4096.5821,1.3587,182116772,2.70E+11
2020/1/3,4161.2185,4164.2989,4131.864,4144.9649,4152.2408,-0.1752,142826244,2.15E+11
2020/1/6,4120.5211,4170.6384,4102.3796,4129.2954,4144.9649,-0.378,175309953,2.50E+11
2020/1/7,4137.4019,4161.2504,4135.0972,4160.2274,4129.2954,0.7491,139489031,1.96E+11
2020/1/8,4139.6315,4149.813,4101.9801,4112.3172,4160.2274,-1.1516,167585850,2.12E+11
2020/1/9,4145.5345,4165.6574,4143.592,4164.3697,4112.3172,1.2658,136886324,2.00E+11
2020/1/10,4177.5777,4180.9771,4148.4817,4163.1849,4164.3697,-0.0285,113031719,1.78E+11
2020/1/13,4166.9254,4203.9883,4148.6007,4203.9883,4163.1849,0.9801,119691982,2.00E+11
2020/1/14,4215.1578,4223.5078,4188.0809,4189.8862,4203.9883,-0.3354,129320783,1.96E+11
2020/1/15,4186.881,4193.8686,4150.8799,4166.7344,4189.8862,-0.5526,104633136,1.63E+11
2020/1/16,4174.8172,4175.2938,4142.1795,4149.0434,4166.7344,-0.4246,100267642,1.56E+11
2020/1/17,4162.1939,4177.0282,4141.6448,4154.853,4149.0434,0.14,98725682,1.67E+11
2020/1/20,4170.7365,4185.9629,4149.4879,4185.8304,4154.853,0.7456,122409147,2.03E+11
2020/1/21,4165.0203,4165.0203,4113.3251,4114.3085,4185.8304,-1.7087,130527507,2.05E+11
2020/1/22,4093.8009,4141.1772,4046.4866,4131.9311,4114.3085,0.4283,126758763,2.08E+11
2020/1/23,4093.3229,4103.5244,3972.3933,4003.9013,4131.9311,-3.0985,160357603,2.50E+11
2020/2/3,3639.9089,3732.1572,3639.9089,3688.3578,4003.9013,-7.8809,157559647,2.43E+11
2020/2/4,3652.0035,3786.8629,3652.0035,3785.6376,3688.3578,2.6375,213933328,2.98E+11
2020/2/5,3801.099,3866.0108,3781.613,3828.5272,3785.6376,1.133,174925524,2.64E+11
2020/2/6,3841.7537,3914.915,3806.9601,3899.7751,3828.5272,1.861,176462235,2.63E+11
2020/2/7,3879.5531,3899.8837,3849.7127,3899.8693,3899.7751,0.0024,151731759,2.38E+11
2020/2/10,3872.3738,3920.1667,3861.0066,3916.0052,3899.8693,0.4138,148406969,2.30E+11
2020/2/11,3926.4204,3970.5221,3915.7077,3952.4643,3916.0052,0.931,143441674,2.19E+11
2020/2/12,3945.6663,3984.4325,3940.6667,3984.4325,3952.4643,0.8088,126710321,2.01E+11
2020/2/13,3985.8757,3999.5495,3950.1422,3959.9188,3984.4325,-0.6152,145001843,2.29E+11
2020/2/14,3954.234,4001.5627,3954.0233,3987.7342,3959.9188,0.7024,143239803,2.23E+11
2020/2/17,3999.6511,4077.4464,3999.6511,4077.4241,3987.7342,2.2491,182778969,2.73E+11
2020/2/18,4069.8315,4076.388,4027.7859,4057.5108,4077.4241,-0.4884,163236220,2.43E+11
